NB_DIGIT_TEST,,,,,,,,,,,
,,,,,,,,,,,
Confusion Matrix,,,,,,,,,,,
,,,,,,,,,,,
13.513381958,13.5680770874,12.9812951088,13.1476781368,13.4060530663,13.5186390877,13.6752481461,13.4049038887,13.341889143,13.9260940552,13.4483259678,0.2503559031
19.0913190842,19.2428338528,19.4444921017,19.7614150047,19.2822329998,18.7499210835,18.4156391621,18.0157470703,17.4153139591,18.0671930313,18.7486107349,0.7103839036
22.3420639038,22.9370219707,22.7402150631,22.7431049347,22.9060270786,22.7534630299,22.1764569283,22.865500927,22.8098549843,22.9846189022,22.7258327723,0.2491925006
26.660433054,27.119125843,27.4226589203,27.4473547935,26.550978899,26.0477421284,25.9215819836,25.9657759666,26.0524921417,25.7751250267,26.4963268757,0.6091393112
30.2811908722,31.0617570877,30.3132328987,30.1119220257,30.6575958729,30.4353649616,30.1595411301,30.1066949368,30.2323100567,29.8762300014,30.3235839844,0.3159226167
33.9510321617,34.6217718124,34.488806963,34.1996409893,34.1750659943,34.4232599735,34.6602377892,34.8190410137,34.182528019,34.311207056,34.3832591772,0.2540898219
38.6339550018,38.8290979862,38.5481610298,38.9967081547,38.51603508,38.4133489132,38.5892019272,38.4349019527,38.6892020702,38.4785737991,38.6129185915,0.1743555561
42.2425420284,42.3515770435,42.2534899712,42.3129148483,42.348870039,42.5257329941,42.9362971783,45.3815581799,43.9514148235,44.1692788601,43.0473675966,1.0294805145
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NB_Face_TEST,,,,,,,,,,,
,,,,,,,,,,,
Confusion Matrix,,,,,,,,,,,
21,2,,,,,,,,,,
2,25,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Accuracy,,,,,,,,,,Avg,Std
46,76,46,52,52,62,46,68,66,46,56,10.5451410612
74,90,80,62,86,70,84,80,86,80,79.2,8.0099937578
80,86,80,90,92,84,96,88,86,84,86.6,4.8207883173
90,88,86,90,90,88,90,94,96,94,90.6,2.9732137495
90,90,90,94,92,90,90,84,90,92,90.2,2.4413111231
90,90,92,92,90,90,94,92,92,94,91.6,1.4966629547
92,90,92,92,92,92,94,94,92,88,91.8,1.6613247726
92,92,92,90,92,92,90,92,92,92,91.6,0.8
94,92,92,90,92,90,90,90,92,92,91.4,1.2806248475
92,92,92,92,92,92,92,92,92,92,92,0
,,,,,,,,,,,
,,,,,,,,,,,
Timings,,,,,,,,,,Avg,Std
3.1873002052,2.8678650856,2.956786871,3.0356900692,2.9149491787,2.8052082062,2.5719509125,3.1220760345,2.8550400734,2.6779069901,2.8994773626,0.1796378312
4.7209889889,5.4230568409,5.3703289032,4.7571599483,4.8885960579,4.5357749462,4.9980559349,4.8734109402,4.8879971504,4.8124229908,4.9267792702,0.2628688552
6.7775948048,7.2849040031,7.0214231014,6.793503046,7.7318310738,7.0906169415,7.1052379608,7.6331810951,7.3877379894,6.2730979919,7.1099128008,0.4107839848
8.9419488907,9.1856560707,8.5781600475,8.7882249355,9.7136030197,10.1433329582,9.7035200596,9.249243021,9.4736320972,9.8310739994,9.36083951,0.4740356156
11.932888031,11.314745903,11.4461829662,12.075674057,11.758685112,11.4571118355,10.1212770939,11.7582571507,10.6099460125,11.1905860901,11.3665354252,0.5746428588
12.9224429131,14.2884268761,13.804776907,12.9978101254,12.8389630318,13.9484090805,13.4455449581,13.6825218201,13.0497071743,13.0373711586,13.4015974045,0.4790147461
15.6683561802,15.2798190117,17.0400729179,15.4034731388,15.0152308941,15.6026909351,16.5337409973,15.2372500896,15.4110028744,14.6071479321,15.5798784971,0.6769394019
17.8502280712,17.6608669758,17.4397330284,17.8764538765,17.2341551781,16.635915041,17.3415169716,16.9626421928,17.984208107,17.4936840534,17.4479403496,0.4040382895
19.4888389111,18.7575590611,19.6127860546,19.3162679672,19.1924350262,19.3388929367,19.3420989513,19.3467268944,19.1851348877,19.1523239613,19.2733064651,0.2174666494
21.2945389748,21.3012561798,21.2787721157,21.2664198875,21.1738071442,21.2844350338,21.2419650555,21.2564179897,21.172768116,21.495965004,21.2766345501,0.0849557484
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NB_Face_VALID,,,,,,,,,,,
,,,,,,,,,,,
Confusion Matrix,,,,,,,,,,,
142,21,,,,,,,,,,
14,124,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Accuracy,,,,,,,,,,Avg,Std
51.8272425249,52.1594684385,59.1362126246,71.096345515,69.4352159468,57.4750830565,70.4318936877,69.4352159468,51.8272425249,64.7840531561,61.7607973422,7.7721694544
72.7574750831,65.1162790698,71.096345515,67.4418604651,63.122923588,76.4119601329,68.1063122924,63.122923588,64.4518272425,58.4717607973,67.0099667774,5.0276001183
78.073089701,80.3986710963,79.7342192691,80.0664451827,74.0863787375,83.3887043189,86.7109634551,87.0431893688,85.049833887,82.7242524917,81.7275747508,3.8486619156
85.7142857143,80.0664451827,85.049833887,84.3853820598,83.3887043189,82.0598006645,82.3920265781,85.3820598007,86.0465116279,86.0465116279,84.0531561462,1.9142671483
85.7142857143,85.7142857143,85.7142857143,81.3953488372,82.7242524917,88.0398671096,85.3820598007,85.7142857143,87.3754152824,83.7209302326,85.1495016611,1.9145554198
86.7109634551,86.3787375415,83.7209302326,88.0398671096,84.0531561462,85.7142857143,86.7109634551,87.707641196,84.7176079734,85.7142857143,85.9468438538,1.3782371105
88.7043189369,87.0431893688,85.7142857143,87.707641196,85.7142857143,89.0365448505,87.3754152824,88.0398671096,85.3820598007,88.0398671096,87.2757475083,1.2256389864
90.0332225914,86.3787375415,87.3754152824,88.3720930233,88.3720930233,88.0398671096,87.0431893688,89.7009966777,88.7043189369,88.0398671096,88.2059800664,1.0636418999
87.3754152824,88.3720930233,87.3754152824,88.3720930233,88.7043189369,87.707641196,87.3754152824,87.0431893688,88.3720930233,89.0365448505,87.9734219269,0.6442099478
88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,88.3720930233,0
,,,,,,,,,,,
,,,,,,,,,,,
